ville_id,ville,lat,lon,temperature_moyenne,humidity_moyenne,weather_mode
1,Mont Saint Michel,48.6906803,5.8826485,21.31225,58.8,couvert
2,St Malo,48.649518,-2.0260409,18.518,78.525,couvert
3,Bayeux,49.2764624,-0.7024738,19.12625,75.1,légère pluie
4,Le Havre,49.4938975,0.1079732,19.192,79.825,légère pluie
5,Rouen,49.4404591,1.0939658,20.284,72.875,légère pluie
6,Paris,48.8534951,2.3483915,22.40025,58.55,couvert
7,Amiens,49.8941708,2.2956951,20.601,69.525,légère pluie
8,Lille,50.6365654,3.0635282,21.145249999999997,65.5,légère pluie
9,Strasbourg,48.584614,7.7507127,22.458000000000002,58.325,couvert
10,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,19.76975,61.55,nuageux
11,Colmar,48.0777517,7.3579641,22.3885,61.275,légère pluie
12,Eguisheim,48.0447968,7.3079618,22.10725,61.35,nuageux
13,Besancon,47.2380222,6.0243622,21.34625,67.825,légère pluie
14,Dijon,47.3215806,5.0414701,21.975,57.925,légère pluie
15,Annecy,45.8992348,6.1288847,22.07875,66.725,légère pluie
16,Grenoble,45.1875602,5.7357819,24.406,64.175,ciel dégagé
17,Lyon,45.7578137,4.8320114,23.3765,61.225,légère pluie
18,Moustiers-Sainte-Marie,43.8460089,6.2217604,22.2885,52.55,ciel dégagé
19,Bormes les Mimosas,43.1506968,6.3419285,24.732499999999998,66.325,ciel dégagé
20,Cassis,43.2140359,5.5396318,24.811500000000002,61.75,ciel dégagé
21,Marseille,43.2961743,5.3699525,25.526,62.325,ciel dégagé
22,Aix en Provence,43.5298424,5.4474738,27.688499999999998,43.65,ciel dégagé
23,Avignon,43.9492493,4.8059012,27.2505,48.575,ciel dégagé
24,Uzes,44.0121279,4.4196718,25.875999999999998,52.75,ciel dégagé
25,Nimes,43.8374249,4.3600687,27.068,49.775,nuageux
26,Aigues Mortes,43.5661521,4.19154,24.9945,65.45,ciel dégagé
27,Saintes Maries de la mer,43.4515922,4.4277202,23.9675,71.025,ciel dégagé
28,Collioure,42.52505,3.0831554,26.3065,54.6,ciel dégagé
29,Carcassonne,43.2130358,2.3491069,24.93425,52.35,nuageux
30,Ariege,42.8458016,1.6067586,22.69925,66.425,nuageux
31,Toulouse,43.6044622,1.4442469,23.51475,57.65,nuageux
32,Montauban,44.0175835,1.3549991,23.35975,57.425,couvert
33,Biarritz,43.4832523,-1.5592776,21.13675,74.85,couvert
34,Bayonne,43.4945144,-1.4736657,21.11025,74.8,couvert
35,La Rochelle,46.159732,-1.1515951,20.39075,76.625,légère pluie
